"_id"	count	nbPR
prestodb/presto	1000.0	889.0
druid-io/druid	579.0	464.0
apache/flink	477.0	349.0
apache/nifi	472.0	327.0
HubSpot/Singularity	437.0	114.0
apache/storm	349.0	255.0
CorfuDB/CorfuDB	313.0	151.0
spring-projects/spring-boot	277.0	92.0
apache/zeppelin	210.0	47.0
JabRef/jabref	201.0	82.0
jamesagnew/hapi-fhir	182.0	34.0
INRIA/spoon	155.0	154.0
apache/tinkerpop	143.0	21.0
Evolveum/midpoint	140.0	5.0
languagetool-org/languagetool	132.0	35.0
hawkular/hawkular-metrics	126.0	85.0
alibaba/fastjson	119.0	17.0
geoserver/geoserver	118.0	70.0
Yakindu/statecharts	117.0	45.0
matsim-org/matsim	113.0	6.0
spotify/docker-client	111.0	78.0
resteasy/Resteasy	105.0	84.0
checkstyle/checkstyle	105.0	105.0
apache/calcite	102.0	72.0
xetorthio/jedis	100.0	77.0
spring-projects/spring-data-mongodb	98.0	0.0
blynkkk/blynk-server	96.0	0.0
4pr0n/ripme	94.0	28.0
wu-sheng/sky-walking	93.0	36.0
pgjdbc/pgjdbc	88.0	76.0
MariaDB/mariadb-connector-j	87.0	3.0
SonarSource/sonarqube	87.0	41.0
airlift/airlift	83.0	54.0
biojava/biojava	81.0	39.0
grpc/grpc-java	78.0	43.0
spring-projects/spring-data-redis	77.0	17.0
jacoco/jacoco	76.0	48.0
apache/jackrabbit-oak	75.0	4.0
IQSS/dataverse	73.0	22.0
graphhopper/graphhopper	70.0	39.0
linkedin/gobblin	68.0	50.0
UniversalMediaServer/UniversalMediaServer	64.0	20.0
AsyncHttpClient/async-http-client	63.0	11.0
AxonFramework/AxonFramework	59.0	21.0
debezium/debezium	56.0	52.0
spring-projects/spring-data-examples	56.0	0.0
arangodb/arangodb-java-driver	49.0	1.0
square/okhttp	48.0	31.0
keycloak/keycloak	46.0	46.0
AmadeusITGroup/sonar-stash	45.0	16.0
dangdangdotcom/sharding-jdbc	44.0	3.0
apache/kylin	44.0	4.0
watson-developer-cloud/java-sdk	44.0	6.0
OpenGamma/Strata	44.0	10.0
aws/aws-sdk-java	43.0	3.0
DSpace/DSpace	42.0	38.0
rapidoid/rapidoid	42.0	1.0
yahoo/elide	41.0	41.0
ngageoint/geowave	39.0	10.0
searchbox-io/Jest	38.0	32.0
GoogleCloudPlatform/java-docs-samples	37.0	17.0
geotools/geotools	37.0	30.0
sakaiproject/sakai	37.0	26.0
eclipse/paho.mqtt.java	37.0	15.0
spring-projects/spring-data-commons	35.0	0.0
stripe/stripe-java	35.0	16.0
timmolter/XChange	35.0	31.0
wix/wix-embedded-mysql	35.0	16.0
GwtMaterialDesign/gwt-material	34.0	10.0
bonigarcia/webdrivermanager	33.0	1.0
hypercube1024/firefly	32.0	3.0
chocoteam/choco-solver	32.0	3.0
Unidata/thredds	32.0	5.0
zolyfarkas/spf4j	31.0	0.0
ShifuML/shifu	31.0	8.0
hs-web/hsweb-framework	31.0	1.0
apache/apex-core	30.0	24.0
apache/cayenne	29.0	10.0
spring-projects/spring-data-cassandra	29.0	7.0
kaazing/gateway	28.0	21.0
Tencent/angel	26.0	5.0
apache/manifoldcf	26.0	0.0
naver/pinpoint	26.0	15.0
dropwizard/dropwizard	25.0	9.0
dropwizard/metrics	24.0	8.0
antlr/antlr4	23.0	19.0
