"_id"	count	nbPR
prestodb/presto	1000	889
druid-io/druid	579	464
apache/flink	477	349
apache/nifi	472	327
HubSpot/Singularity	437	114
apache/storm	349	255
CorfuDB/CorfuDB	313	151
spring-projects/spring-boot	277	92
apache/zeppelin	210	47
JabRef/jabref	201	82
jamesagnew/hapi-fhir	182	34
INRIA/spoon	155	154
apache/tinkerpop	143	21
Evolveum/midpoint	140	5
languagetool-org/languagetool	132	35
hawkular/hawkular-metrics	126	85
alibaba/fastjson	119	17
geoserver/geoserver	118	70
Yakindu/statecharts	117	45
matsim-org/matsim	113	6
spotify/docker-client	111	78
resteasy/Resteasy	105	84
checkstyle/checkstyle	105	105
apache/calcite	102	72
xetorthio/jedis	100	77
spring-projects/spring-data-mongodb	98	0
blynkkk/blynk-server	96	0
4pr0n/ripme	94	28
wu-sheng/sky-walking	93	36
pgjdbc/pgjdbc	88	76
MariaDB/mariadb-connector-j	87	3
SonarSource/sonarqube	87	41
airlift/airlift	83	54
biojava/biojava	81	39
grpc/grpc-java	78	43
spring-projects/spring-data-redis	77	17
jacoco/jacoco	76	48
apache/jackrabbit-oak	75	4
IQSS/dataverse	73	22
graphhopper/graphhopper	70	39
linkedin/gobblin	68	50
UniversalMediaServer/UniversalMediaServer	64	20
AsyncHttpClient/async-http-client	63	11
AxonFramework/AxonFramework	59	21
debezium/debezium	56	52
spring-projects/spring-data-examples	56	0
arangodb/arangodb-java-driver	49	1
square/okhttp	48	31
keycloak/keycloak	46	46
AmadeusITGroup/sonar-stash	45	16
dangdangdotcom/sharding-jdbc	44	3
apache/kylin	44	4
watson-developer-cloud/java-sdk	44	6
OpenGamma/Strata	44	10
aws/aws-sdk-java	43	3
DSpace/DSpace	42	38
rapidoid/rapidoid	42	1
yahoo/elide	41	41
ngageoint/geowave	39	10
searchbox-io/Jest	38	32
GoogleCloudPlatform/java-docs-samples	37	17
geotools/geotools	37	30
sakaiproject/sakai	37	26
eclipse/paho.mqtt.java	37	15
spring-projects/spring-data-commons	35	0
stripe/stripe-java	35	16
timmolter/XChange	35	31
wix/wix-embedded-mysql	35	16
GwtMaterialDesign/gwt-material	34	10
bonigarcia/webdrivermanager	33	1
hypercube1024/firefly	32	3
chocoteam/choco-solver	32	3
Unidata/thredds	32	5
zolyfarkas/spf4j	31	0
ShifuML/shifu	31	8
hs-web/hsweb-framework	31	1
apache/apex-core	30	24
apache/cayenne	29	10
spring-projects/spring-data-cassandra	29	7
kaazing/gateway	28	21
Tencent/angel	26	5
apache/manifoldcf	26	0
naver/pinpoint	26	15
dropwizard/dropwizard	25	9
dropwizard/metrics	24	8
antlr/antlr4	23	19
treasure-data/digdag	23	11
reactor/reactor-core	23	10
swagger-api/swagger-codegen	22	19
openzipkin/brave	22	11
locationtech/geogig	22	12
DozerMapper/dozer	21	17
embulk/embulk	21	13
alibaba/dubbo	21	5
zeromq/jeromq	21	12
Adobe-Consulting-Services/acs-aem-commons	21	17
spring-cloud/spring-cloud-dataflow	21	18
Flipkart/foxtrot	21	8
SonarSource/sonar-java	21	3
allegro/hermes	20	10
omnifaces/omnifaces	20	0
twitter/GraphJet	20	3
apache/incubator-samoa	19	15
sarl/sarl	19	1
EdwardRaff/JSAT	18	0
glowroot/glowroot	18	3
NLPchina/elasticsearch-sql	18	5
jcabi/jcabi-http	18	10
shardingjdbc/sharding-jdbc	17	0
apache/pdfbox	17	0
uber/tchannel-java	17	3
dangdangdotcom/elastic-job	17	4
nutzam/nutz	17	4
