"_id"	count
druid-io/druid	359
apache/flink	326
prestodb/presto	194
HubSpot/Singularity	182
CorfuDB/CorfuDB	126
apache/storm	111
geoserver/geoserver	109
spotify/docker-client	99
xetorthio/jedis	94
4pr0n/ripme	87
pgjdbc/pgjdbc	84
spring-projects/spring-data-mongodb	64
alibaba/fastjson	63
INRIA/spoon	58
languagetool-org/languagetool	55
spring-projects/spring-data-redis	54
AsyncHttpClient/async-http-client	43
apache/nifi	43
blynkkk/blynk-server	39
AxonFramework/AxonFramework	37
OpenGamma/Strata	36
searchbox-io/Jest	35
eclipse/paho.mqtt.java	34
SonarSource/sonarqube	34
matsim-org/matsim	33
dangdangdotcom/sharding-jdbc	33
bonigarcia/webdrivermanager	33
biojava/biojava	31
chocoteam/choco-solver	30
airlift/airlift	28
apache/apex-core	27
apache/jackrabbit-oak	27
resteasy/Resteasy	26
antlr/antlr4	23
rapidoid/rapidoid	22
GwtMaterialDesign/gwt-material	21
dropwizard/dropwizard	20
checkstyle/checkstyle	19
wix/wix-embedded-mysql	19
IQSS/dataverse	19
square/okhttp	18
shardingjdbc/sharding-jdbc	17
apache/incubator-samoa	17
apache/calcite	17
nutzam/nutz	16
yusuke/twitter4j	16
everit-org/json-schema	16
hs-web/hsweb-framework	15
hypercube1024/firefly	14
MariaDB/mariadb-connector-j	14
javaee-samples/javaee7-samples	14
yandex-qatools/postgresql-embedded	13
stanford-futuredata/macrobase	13
Flipkart/foxtrot	12
alibaba/dubbo	12
spring-cloud/spring-cloud-dataflow	12
Evolveum/midpoint	11
timmolter/XChange	11
OpenGrok/OpenGrok	10
openpnp/openpnp	10
graphhopper/graphhopper	10
geotools/geotools	9
jdbi/jdbi	9
testcontainers/testcontainers-java	9
wro4j/wro4j	8
phoenixnap/springmvc-raml-plugin	8
lukas-krecan/JsonUnit	8
swagger-api/swagger-core	8
google/guava	8
apache/rocketmq	8
jmrozanec/cron-utils	7
graphaware/neo4j-to-elasticsearch	7
jenkinsci/performance-plugin	7
dropwizard/metrics	7
EdwardRaff/JSAT	7
iluwatar/java-design-patterns	7
ButterFaces/ButterFaces	7
kongchen/swagger-maven-plugin	7
jdereg/java-util	6
apache/commons-lang	6
sakaiproject/sakai	6
kaazing/gateway	6
karussell/snacktory	6
andsel/moquette	6
apache/commons-io	6
zeromq/jeromq	6
spring-projects/spring-hateoas	6
jamesagnew/hapi-fhir	5
enioka/jqm	5
dangdangdotcom/elastic-job	5
relayrides/pushy	5
zalando/logbook	5
openmicroscopy/bioformats	5
elasticjob/elastic-job-lite	5
apache/pdfbox	5
SonarSource/sonar-java	5
DozerMapper/dozer	5
apache/struts	5
frohoff/ysoserial	4
