"_id"	count
druid-io/druid	359.0
apache/flink	326.0
prestodb/presto	194.0
HubSpot/Singularity	182.0
CorfuDB/CorfuDB	126.0
apache/storm	111.0
geoserver/geoserver	109.0
spotify/docker-client	99.0
xetorthio/jedis	94.0
4pr0n/ripme	87.0
pgjdbc/pgjdbc	84.0
spring-projects/spring-data-mongodb	64.0
alibaba/fastjson	63.0
INRIA/spoon	58.0
languagetool-org/languagetool	55.0
spring-projects/spring-data-redis	54.0
AsyncHttpClient/async-http-client	43.0
apache/nifi	43.0
blynkkk/blynk-server	39.0
AxonFramework/AxonFramework	37.0
OpenGamma/Strata	36.0
searchbox-io/Jest	35.0
eclipse/paho.mqtt.java	34.0
SonarSource/sonarqube	34.0
matsim-org/matsim	33.0
dangdangdotcom/sharding-jdbc	33.0
bonigarcia/webdrivermanager	33.0
biojava/biojava	31.0
chocoteam/choco-solver	30.0
airlift/airlift	28.0
apache/apex-core	27.0
apache/jackrabbit-oak	27.0
resteasy/Resteasy	26.0
antlr/antlr4	23.0
rapidoid/rapidoid	22.0
GwtMaterialDesign/gwt-material	21.0
dropwizard/dropwizard	20.0
checkstyle/checkstyle	19.0
wix/wix-embedded-mysql	19.0
IQSS/dataverse	19.0
square/okhttp	18.0
shardingjdbc/sharding-jdbc	17.0
apache/incubator-samoa	17.0
apache/calcite	17.0
nutzam/nutz	16.0
yusuke/twitter4j	16.0
everit-org/json-schema	16.0
hs-web/hsweb-framework	15.0
hypercube1024/firefly	14.0
MariaDB/mariadb-connector-j	14.0
javaee-samples/javaee7-samples	14.0
yandex-qatools/postgresql-embedded	13.0
stanford-futuredata/macrobase	13.0
Flipkart/foxtrot	12.0
alibaba/dubbo	12.0
spring-cloud/spring-cloud-dataflow	12.0
Evolveum/midpoint	11.0
timmolter/XChange	11.0
OpenGrok/OpenGrok	10.0
openpnp/openpnp	10.0
graphhopper/graphhopper	10.0
geotools/geotools	9.0
jdbi/jdbi	9.0
testcontainers/testcontainers-java	9.0
wro4j/wro4j	8.0
phoenixnap/springmvc-raml-plugin	8.0
lukas-krecan/JsonUnit	8.0
swagger-api/swagger-core	8.0
google/guava	8.0
apache/rocketmq	8.0
jmrozanec/cron-utils	7.0
graphaware/neo4j-to-elasticsearch	7.0
jenkinsci/performance-plugin	7.0
dropwizard/metrics	7.0
EdwardRaff/JSAT	7.0
iluwatar/java-design-patterns	7.0
ButterFaces/ButterFaces	7.0
kongchen/swagger-maven-plugin	7.0
jdereg/java-util	6.0
apache/commons-lang	6.0
sakaiproject/sakai	6.0
kaazing/gateway	6.0
karussell/snacktory	6.0
andsel/moquette	6.0
apache/commons-io	6.0
zeromq/jeromq	6.0
spring-projects/spring-hateoas	6.0
jamesagnew/hapi-fhir	5.0
enioka/jqm	5.0
dangdangdotcom/elastic-job	5.0
relayrides/pushy	5.0
zalando/logbook	5.0
openmicroscopy/bioformats	5.0
elasticjob/elastic-job-lite	5.0
apache/pdfbox	5.0
SonarSource/sonar-java	5.0
DozerMapper/dozer	5.0
apache/struts	5.0
frohoff/ysoserial	4.0
TridentSDK/TridentSDK	4.0
swagger-api/swagger-inflector	4.0
perfectsense/dari	4.0
go-ive/steam-api	4.0
twitter/GraphJet	4.0
rickfast/consul-client	4.0
Adobe-Consulting-Services/acs-aem-commons	4.0
GeoWebCache/geowebcache	4.0
SciGraph/SciGraph	4.0
zolyfarkas/spf4j	4.0
OrbitzWorldwide/consul-client	4.0
eclipse/rdf4j	4.0
kermitt2/grobid	3.0
square/javapoet	3.0
knightliao/disconf	3.0
debezium/debezium	3.0
keycloak/keycloak	3.0
apache/opennlp	3.0
pac4j/pac4j	3.0
JSQLParser/JSqlParser	3.0
spotify/cassandra-reaper	3.0
jcabi/jcabi-http	3.0
jenkinsci/jacoco-plugin	3.0
jhy/jsoup	3.0
FasterXML/jackson-core	3.0
qos-ch/logback	3.0
NLPchina/elasticsearch-sql	3.0
synhershko/HebMorph	3.0
tananaev/traccar	3.0
sismics/reader	3.0
javaparser/javaparser	3.0
aws/aws-dynamodb-session-tomcat	2.0
INL/BlackLab	2.0
apache/commons-imaging	2.0
rhuss/jolokia	2.0
apereo/java-cas-client	2.0
Azure/azure-sdk-for-java	2.0
datastax/java-driver	2.0
docker-java/docker-java	2.0
jmxtrans/jmxtrans	2.0
apache/syncope	2.0
fabric8io/docker-maven-plugin	2.0
ttrelle/spring-data-examples	2.0
aerogear/aerogear-unifiedpush-server	2.0
sockeqwe/ParcelablePlease	2.0
bbottema/simple-java-mail	2.0
flaxsearch/luwak	2.0
ocpsoft/rewrite	2.0
sakserv/hadoop-mini-clusters	2.0
apache/commons-net	2.0
prometheus/client_java	2.0
rinde/RinSim	2.0
pholser/junit-quickcheck	2.0
spring-cloud/spring-cloud-stream	2.0
square/retrofit	2.0
hcoles/pitest	2.0
sstrickx/yahoofinance-api	2.0
jhannes/eaxy	2.0
x-stream/xstream	2.0
arquillian/arquillian-cube	2.0
spring-projects/spring-data-examples	2.0
abashev/vfs-s3	2.0
google/error-prone	2.0
togglz/togglz	2.0
protegeproject/webprotege	2.0
graphaware/neo4j-framework	2.0
undera/jmeter-plugins	2.0
IDPF/epubcheck	1.0
graphhopper/jsprit	1.0
OpenSextant/SolrTextTagger	1.0
tipsy/j2html	1.0
apache/tinkerpop	1.0
getsentry/sentry-java	1.0
b3log/symphony	1.0
oracle/opengrok	1.0
apache/metron	1.0
FINRAOS/DataGenerator	1.0
FasterXML/jackson-databind	1.0
confluentinc/examples	1.0
openwide-java/artifact-listener	1.0
pmwmedia/tinylog	1.0
openzipkin/brave	1.0
