"_id"	count	nbPR
prestodb/presto	1036.0	921.0
druid-io/druid	641.0	514.0
apache/flink	576.0	425.0
apache/nifi	573.0	399.0
HubSpot/Singularity	456.0	119.0
apache/storm	366.0	264.0
CorfuDB/CorfuDB	317.0	153.0
spring-projects/spring-boot	277.0	92.0
Evolveum/midpoint	232.0	5.0
Yakindu/statecharts	214.0	86.0
apache/zeppelin	210.0	47.0
JabRef/jabref	201.0	82.0
jamesagnew/hapi-fhir	191.0	35.0
spotify/docker-client	173.0	113.0
languagetool-org/languagetool	163.0	39.0
INRIA/spoon	159.0	158.0
checkstyle/checkstyle	158.0	158.0
geoserver/geoserver	145.0	83.0
apache/tinkerpop	143.0	21.0
4pr0n/ripme	131.0	54.0
alibaba/fastjson	130.0	17.0
hawkular/hawkular-metrics	126.0	85.0
blynkkk/blynk-server	118.0	0.0
pgjdbc/pgjdbc	117.0	103.0
matsim-org/matsim	115.0	6.0
spring-projects/spring-data-mongodb	114.0	0.0
resteasy/Resteasy	109.0	88.0
apache/calcite	105.0	75.0
xetorthio/jedis	104.0	79.0
wu-sheng/sky-walking	93.0	36.0
apache/jackrabbit-oak	91.0	4.0
spring-projects/spring-data-redis	88.0	17.0
SonarSource/sonarqube	87.0	41.0
MariaDB/mariadb-connector-j	87.0	3.0
biojava/biojava	86.0	43.0
airlift/airlift	83.0	54.0
grpc/grpc-java	78.0	43.0
graphhopper/graphhopper	77.0	45.0
jacoco/jacoco	76.0	48.0
IQSS/dataverse	73.0	22.0
dangdangdotcom/sharding-jdbc	72.0	3.0
linkedin/gobblin	68.0	50.0
AsyncHttpClient/async-http-client	68.0	11.0
UniversalMediaServer/UniversalMediaServer	64.0	20.0
AxonFramework/AxonFramework	59.0	21.0
spring-projects/spring-data-examples	57.0	0.0
debezium/debezium	56.0	52.0
square/okhttp	53.0	32.0
arangodb/arangodb-java-driver	49.0	1.0
rapidoid/rapidoid	49.0	1.0
keycloak/keycloak	47.0	47.0
AmadeusITGroup/sonar-stash	47.0	17.0
antlr/antlr4	46.0	38.0
apache/kylin	44.0	4.0
searchbox-io/Jest	44.0	35.0
watson-developer-cloud/java-sdk	44.0	6.0
OpenGamma/Strata	44.0	10.0
eclipse/paho.mqtt.java	44.0	18.0
aws/aws-sdk-java	43.0	3.0
yahoo/elide	43.0	43.0
locationtech/geogig	42.0	22.0
DSpace/DSpace	42.0	38.0
dropwizard/dropwizard	39.0	16.0
ngageoint/geowave	39.0	10.0
sakaiproject/sakai	38.0	27.0
timmolter/XChange	38.0	33.0
GoogleCloudPlatform/java-docs-samples	37.0	17.0
chocoteam/choco-solver	37.0	4.0
geotools/geotools	37.0	30.0
hypercube1024/firefly	36.0	3.0
GwtMaterialDesign/gwt-material	35.0	10.0
spring-projects/spring-data-commons	35.0	0.0
nutzam/nutz	35.0	7.0
stripe/stripe-java	35.0	16.0
bonigarcia/webdrivermanager	35.0	1.0
wix/wix-embedded-mysql	35.0	16.0
dangdangdotcom/elastic-job	34.0	6.0
hs-web/hsweb-framework	33.0	1.0
apache/apex-core	32.0	25.0
Unidata/thredds	32.0	5.0
zolyfarkas/spf4j	31.0	0.0
ShifuML/shifu	31.0	8.0
kaazing/gateway	30.0	23.0
apache/cayenne	29.0	10.0
spring-projects/spring-data-cassandra	29.0	7.0
SonarSource/sonar-java	28.0	7.0
apache/manifoldcf	27.0	0.0
Tencent/angel	26.0	5.0
alibaba/dubbo	26.0	6.0
