"_id"	count
apache/flink	425.0
druid-io/druid	421.0
prestodb/presto	230.0
HubSpot/Singularity	201.0
spotify/docker-client	161.0
apache/nifi	144.0
geoserver/geoserver	136.0
CorfuDB/CorfuDB	130.0
apache/storm	128.0
4pr0n/ripme	124.0
pgjdbc/pgjdbc	113.0
Evolveum/midpoint	103.0
xetorthio/jedis	98.0
Yakindu/statecharts	97.0
languagetool-org/languagetool	86.0
spring-projects/spring-data-mongodb	80.0
alibaba/fastjson	74.0
checkstyle/checkstyle	72.0
spring-projects/spring-data-redis	65.0
INRIA/spoon	62.0
blynkkk/blynk-server	61.0
dangdangdotcom/sharding-jdbc	61.0
AsyncHttpClient/async-http-client	48.0
antlr/antlr4	46.0
apache/jackrabbit-oak	43.0
eclipse/paho.mqtt.java	41.0
searchbox-io/Jest	41.0
AxonFramework/AxonFramework	37.0
biojava/biojava	36.0
OpenGamma/Strata	36.0
matsim-org/matsim	35.0
bonigarcia/webdrivermanager	35.0
chocoteam/choco-solver	35.0
SonarSource/sonarqube	34.0
dropwizard/dropwizard	34.0
nutzam/nutz	34.0
resteasy/Resteasy	30.0
apache/apex-core	29.0
rapidoid/rapidoid	29.0
airlift/airlift	28.0
square/okhttp	23.0
jenkinsci/performance-plugin	22.0
dangdangdotcom/elastic-job	22.0
GwtMaterialDesign/gwt-material	22.0
locationtech/geogig	20.0
apache/calcite	20.0
OpenGrok/OpenGrok	20.0
IQSS/dataverse	19.0
wix/wix-embedded-mysql	19.0
apache/incubator-samoa	18.0
testcontainers/testcontainers-java	18.0
everit-org/json-schema	18.0
hypercube1024/firefly	18.0
yusuke/twitter4j	17.0
alibaba/dubbo	17.0
stanford-futuredata/macrobase	17.0
graphhopper/graphhopper	17.0
javaee-samples/javaee7-samples	17.0
hs-web/hsweb-framework	17.0
MariaDB/mariadb-connector-j	14.0
timmolter/XChange	14.0
jamesagnew/hapi-fhir	14.0
spring-cloud/spring-cloud-dataflow	13.0
yandex-qatools/postgresql-embedded	13.0
SonarSource/sonar-java	12.0
Flipkart/foxtrot	12.0
rchodava/datamill	12.0
OpenTSDB/opentsdb	11.0
ButterFaces/ButterFaces	10.0
twitter/GraphJet	10.0
graphaware/neo4j-to-elasticsearch	10.0
square/retrofit	10.0
lukas-krecan/JsonUnit	10.0
EdwardRaff/JSAT	10.0
openpnp/openpnp	10.0
jdbi/jdbi	9.0
wro4j/wro4j	9.0
enioka/jqm	9.0
perfectsense/dari	9.0
spring-projects/spring-hateoas	9.0
OrbitzWorldwide/consul-client	9.0
karussell/snacktory	9.0
geotools/geotools	9.0
iluwatar/java-design-patterns	9.0
apache/rocketmq	8.0
google/guava	8.0
swagger-api/swagger-core	8.0
apache/incubator-metron	8.0
apache/struts	8.0
kaazing/gateway	8.0
jmrozanec/cron-utils	8.0
apache/commons-io	8.0
kongchen/swagger-maven-plugin	8.0
openmicroscopy/bioformats	8.0
oVirt/ovirt-engine	8.0
qos-ch/logback	8.0
phoenixnap/springmvc-raml-plugin	8.0
dropwizard/metrics	8.0
datastax/java-driver	7.0
relayrides/pushy	7.0
sakaiproject/sakai	7.0
apache/pdfbox	7.0
apache/commons-lang	6.0
zeromq/jeromq	6.0
andsel/moquette	6.0
jdereg/java-util	6.0
sismics/reader	5.0
sakserv/hadoop-mini-clusters	5.0
zalando/logbook	5.0
protegeproject/webprotege	5.0
DozerMapper/dozer	5.0
Adobe-Consulting-Services/acs-aem-commons	4.0
swagger-api/swagger-inflector	4.0
SciGraph/SciGraph	4.0
GeoWebCache/geowebcache	4.0
TridentSDK/TridentSDK	4.0
zolyfarkas/spf4j	4.0
eclipse/rdf4j	4.0
aerogear/aerogear-unifiedpush-server	4.0
google/closure-compiler	4.0
apache/commons-math	4.0
google/error-prone	4.0
undera/jmeter-plugins	4.0
Asqatasun/Asqatasun	4.0
keycloak/keycloak	4.0
FasterXML/jackson-core	4.0
getsentry/raven-java	4.0
go-ive/steam-api	4.0
jcabi/jcabi-http	4.0
frohoff/ysoserial	4.0
tipsy/j2html	3.0
knightliao/disconf	3.0
kermitt2/grobid	3.0
aws/aws-dynamodb-session-tomcat	3.0
apache/opennlp	3.0
jhy/jsoup	3.0
jhalterman/expiringmap	3.0
docker-java/docker-java	3.0
JSQLParser/JSqlParser	3.0
jenkinsci/jacoco-plugin	3.0
apache/airavata	3.0
tomakehurst/wiremock	3.0
Azure/azure-sdk-for-java	3.0
spotify/cassandra-reaper	3.0
apache/commons-net	3.0
tananaev/traccar	3.0
openzipkin/brave	3.0
square/javapoet	3.0
arquillian/arquillian-cube	3.0
javaparser/javaparser	3.0
rackerlabs/blueflood	3.0
spring-projects/spring-data-examples	3.0
prometheus/client_java	3.0
debezium/debezium	3.0
apereo/java-cas-client	3.0
synhershko/HebMorph	3.0
pac4j/pac4j	3.0
NLPchina/elasticsearch-sql	3.0
spring-cloud/spring-cloud-stream	2.0
jmxtrans/jmxtrans	2.0
jhannes/eaxy	2.0
bbottema/simple-java-mail	2.0
ocpsoft/rewrite	2.0
togglz/togglz	2.0
xmlunit/xmlunit	2.0
ttrelle/spring-data-examples	2.0
infinitest/infinitest	2.0
hcoles/pitest	2.0
INL/BlackLab	2.0
FasterXML/jackson-databind	2.0
phax/jcodemodel	2.0
sendgrid/sendgrid-java	2.0
fabric8io/docker-maven-plugin	2.0
datacleaner/DataCleaner	2.0
CloudSlang/cloud-slang	2.0
jpush/jpush-api-java-client	2.0
rhuss/jolokia	2.0
apache/commons-imaging	2.0
sstrickx/yahoofinance-api	2.0
ingwarsw/arquillian-suite-extension	2.0
opensagres/xdocreport	2.0
x-stream/xstream	2.0
flaxsearch/luwak	2.0
basho/riak-java-client	2.0
spring-projects/spring-petclinic	2.0
apache/commons-csv	2.0
alibaba/java-dns-cache-manipulator	2.0
abashev/vfs-s3	2.0
yahoo/elide	2.0
konsoletyper/teavm	2.0
AmadeusITGroup/sonar-stash	2.0
kaitoy/pcap4j	2.0
casidiablo/persistence	2.0
sockeqwe/ParcelablePlease	2.0
rinde/RinSim	2.0
phax/ph-css	2.0
apache/syncope	2.0
apache/httpcore	2.0
brettwooldridge/HikariCP	2.0
square/moshi	2.0
graphaware/neo4j-framework	2.0
pholser/junit-quickcheck	2.0
IDPF/epubcheck	1.0
FasterXML/woodstox	1.0
LiveRamp/hank	1.0
graphhopper/jsprit	1.0
julman99/gson-fire	1.0
perwendel/spark	1.0
aws/aws-sdk-java	1.0
apache/tinkerpop	1.0
google/google-http-java-client	1.0
Multiverse/Multiverse-Core	1.0
demoiselle/framework	1.0
BrynCooke/cdi-unit	1.0
jcabi/jcabi-ssh	1.0
linqs/psl	1.0
Mashape/unirest-java	1.0
Tillerino/Tillerinobot	1.0
cpesch/RouteConverter	1.0
Cetsoft/imcache	1.0
jbake-org/jbake	1.0
klieber/phantomjs-maven-plugin	1.0
pac4j/vertx-pac4j	1.0
ThreeTen/threeten-extra	1.0
confluentinc/examples	1.0
OpenSextant/SolrTextTagger	1.0
raphw/byte-buddy	1.0
code4craft/webmagic	1.0
pmwmedia/tinylog	1.0
FINRAOS/DataGenerator	1.0
fayder/restcountries	1.0
atomix/copycat	1.0
OWASP/java-html-sanitizer	1.0
openwide-java/artifact-listener	1.0
spinscale/dropwizard-jobs	1.0
spring-cloud/spring-cloud-security	1.0
apache/httpclient	1.0
doanduyhai/Achilles	1.0
cardillo/joinery	1.0
find-sec-bugs/find-sec-bugs	1.0
swagger-api/swagger-codegen	1.0
ninjaframework/ninja	1.0
CamelCookbook/camel-cookbook-examples	1.0
windy1/google-places-api-java	1.0
cdk/cdk	1.0
ronmamo/reflections	1.0
b3log/symphony	1.0
smoketurner/dropwizard-consul	1.0
clun/ff4j	1.0
persado/stevia	1.0
jwtk/jjwt	1.0
roundrop/facebook4j	1.0
yinwang0/pysonar2	1.0
tomp2p/TomP2P	1.0
apache/manifoldcf	1.0
MoriTanosuke/glacieruploader	1.0
square/wire	1.0
ops4j/org.ops4j.pax.wicket	1.0
OryxProject/oryx	1.0
HubSpot/Baragon	1.0
FasterXML/jackson-module-jaxb-annotations	1.0
apache/commons-configuration	1.0
square/pollexor	1.0
junit-team/junit4	1.0
ngageoint/geowave	1.0
mitreid-connect/OpenID-Connect-Java-Spring-Server	1.0
pac4j/play-pac4j	1.0
